,Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
0,1,Llama-3.1-8B,Baseline,1,1,Low,HIGHER,15000
1,2,Llama-3.1-8B,Baseline,1,2,Low,HIGHER,12000
2,3,Llama-3.1-8B,Baseline,1,3,Low,HIGHER,15000
3,4,Llama-3.1-8B,Baseline,1,4,Low,HIGHER,15000
4,5,Llama-3.1-8B,Baseline,1,5,Low,HIGHER,15000
5,6,Llama-3.1-8B,Baseline,1,6,Low,HIGHER,15000
6,7,Llama-3.1-8B,Baseline,1,7,Low,HIGHER,15000
7,8,Llama-3.1-8B,Baseline,1,8,Low,HIGHER,15000
8,9,Llama-3.1-8B,Baseline,1,1,High,HIGHER,12000
9,12,Llama-3.1-8B,Baseline,1,4,High,HIGHER,12000
10,13,Llama-3.1-8B,Baseline,1,5,High,HIGHER,12000
11,14,Llama-3.1-8B,Baseline,1,6,High,HIGHER,12000
12,15,Llama-3.1-8B,Baseline,1,7,High,HIGHER,15000
13,16,Llama-3.1-8B,Baseline,1,8,High,HIGHER,12000
14,17,Llama-3.1-8B,Baseline,2,1,Low,HIGHER,950
15,18,Llama-3.1-8B,Baseline,2,2,Low,HIGHER,1050
16,19,Llama-3.1-8B,Baseline,2,3,Low,HIGHER,1050
17,22,Llama-3.1-8B,Baseline,2,6,Low,HIGHER,950
18,23,Llama-3.1-8B,Baseline,2,7,Low,HIGHER,950
19,25,Llama-3.1-8B,Baseline,2,1,High,LOWER,20
20,26,Llama-3.1-8B,Baseline,2,2,High,LOWER,18
21,27,Llama-3.1-8B,Baseline,2,3,High,HIGHER,1850
22,28,Llama-3.1-8B,Baseline,2,4,High,HIGHER,18
23,29,Llama-3.1-8B,Baseline,2,5,High,HIGHER,18
24,30,Llama-3.1-8B,Baseline,2,6,High,HIGHER,18
25,31,Llama-3.1-8B,Baseline,2,7,High,HIGHER,18
26,33,Llama-3.1-8B,Baseline,3,1,Low,HIGHER,120
27,34,Llama-3.1-8B,Baseline,3,2,Low,HIGHER,120
28,35,Llama-3.1-8B,Baseline,3,3,Low,HIGHER,120
29,36,Llama-3.1-8B,Baseline,3,4,Low,HIGHER,120
30,37,Llama-3.1-8B,Baseline,3,5,Low,HIGHER,120
31,38,Llama-3.1-8B,Baseline,3,6,Low,HIGHER,120
32,39,Llama-3.1-8B,Baseline,3,7,Low,HIGHER,120
33,40,Llama-3.1-8B,Baseline,3,8,Low,HIGHER,120
34,41,Llama-3.1-8B,Baseline,3,1,High,HIGHER,300
35,42,Llama-3.1-8B,Baseline,3,2,High,HIGHER,300
36,43,Llama-3.1-8B,Baseline,3,3,High,HIGHER,300
37,44,Llama-3.1-8B,Baseline,3,4,High,HIGHER,300
38,45,Llama-3.1-8B,Baseline,3,5,High,HIGHER,300
39,46,Llama-3.1-8B,Baseline,3,6,High,HIGHER,260
40,47,Llama-3.1-8B,Baseline,3,7,High,HIGHER,300
41,48,Llama-3.1-8B,Baseline,3,8,High,HIGHER,300
42,49,Llama-3.1-8B,Baseline,4,1,Low,HIGHER,10440
43,50,Llama-3.1-8B,Baseline,4,2,Low,HIGHER,10000
44,51,Llama-3.1-8B,Baseline,4,3,Low,HIGHER,10000
45,52,Llama-3.1-8B,Baseline,4,4,Low,HIGHER,10440
46,53,Llama-3.1-8B,Baseline,4,5,Low,HIGHER,10000
47,54,Llama-3.1-8B,Baseline,4,6,Low,HIGHER,10000
48,55,Llama-3.1-8B,Baseline,4,7,Low,HIGHER,10000
49,56,Llama-3.1-8B,Baseline,4,8,Low,HIGHER,10000
50,57,Llama-3.1-8B,Baseline,4,1,High,HIGHER,10000
51,58,Llama-3.1-8B,Baseline,4,2,High,HIGHER,10000
52,59,Llama-3.1-8B,Baseline,4,3,High,HIGHER,10000
53,60,Llama-3.1-8B,Baseline,4,4,High,HIGHER,12000
54,61,Llama-3.1-8B,Baseline,4,5,High,HIGHER,10000
55,62,Llama-3.1-8B,Baseline,4,6,High,HIGHER,10000
56,63,Llama-3.1-8B,Baseline,4,7,High,HIGHER,10700
57,64,Llama-3.1-8B,Baseline,4,8,High,HIGHER,10300
58,65,Llama-3.1-8B,Baseline,5,1,Low,HIGHER,65
59,66,Llama-3.1-8B,Baseline,5,2,Low,HIGHER,65
60,67,Llama-3.1-8B,Baseline,5,3,Low,HIGHER,55
61,68,Llama-3.1-8B,Baseline,5,4,Low,HIGHER,65
62,69,Llama-3.1-8B,Baseline,5,5,Low,HIGHER,65
63,71,Llama-3.1-8B,Baseline,5,7,Low,HIGHER,60
64,72,Llama-3.1-8B,Baseline,5,8,Low,HIGHER,65
65,75,Llama-3.1-8B,Baseline,5,3,High,HIGHER,150
66,76,Llama-3.1-8B,Baseline,5,4,High,HIGHER,145
67,78,Llama-3.1-8B,Baseline,5,6,High,HIGHER,150
68,79,Llama-3.1-8B,Baseline,5,7,High,HIGHER,130
69,80,Llama-3.1-8B,Baseline,5,8,High,HIGHER,130
70,81,Llama-3.1-8B,Baseline,6,1,Low,HIGHER,38000
71,82,Llama-3.1-8B,Baseline,6,2,Low,HIGHER,35000
72,83,Llama-3.1-8B,Baseline,6,3,Low,HIGHER,35000
73,84,Llama-3.1-8B,Baseline,6,4,Low,HIGHER,35000
74,85,Llama-3.1-8B,Baseline,6,5,Low,HIGHER,38000
75,86,Llama-3.1-8B,Baseline,6,6,Low,HIGHER,38000
76,87,Llama-3.1-8B,Baseline,6,7,Low,HIGHER,35000
77,88,Llama-3.1-8B,Baseline,6,8,Low,HIGHER,35000
78,89,Llama-3.1-8B,Baseline,6,1,High,HIGHER,45000
79,90,Llama-3.1-8B,Baseline,6,2,High,HIGHER,45000
80,91,Llama-3.1-8B,Baseline,6,3,High,HIGHER,45000
81,92,Llama-3.1-8B,Baseline,6,4,High,HIGHER,45000
82,93,Llama-3.1-8B,Baseline,6,5,High,HIGHER,45000
83,95,Llama-3.1-8B,Baseline,6,7,High,HIGHER,45000
84,96,Llama-3.1-8B,Baseline,6,8,High,HIGHER,45000
85,97,Llama-3.1-8B,Baseline,7,1,Low,HIGHER,32
86,98,Llama-3.1-8B,Baseline,7,2,Low,HIGHER,30
87,99,Llama-3.1-8B,Baseline,7,3,Low,HIGHER,32
88,100,Llama-3.1-8B,Baseline,7,4,Low,HIGHER,32
89,101,Llama-3.1-8B,Baseline,7,5,Low,HIGHER,32
90,102,Llama-3.1-8B,Baseline,7,6,Low,HIGHER,30
91,103,Llama-3.1-8B,Baseline,7,7,Low,HIGHER,32
92,104,Llama-3.1-8B,Baseline,7,8,Low,HIGHER,32
93,105,Llama-3.1-8B,Baseline,7,1,High,HIGHER,105
94,106,Llama-3.1-8B,Baseline,7,2,High,HIGHER,102
95,107,Llama-3.1-8B,Baseline,7,3,High,HIGHER,105
96,108,Llama-3.1-8B,Baseline,7,4,High,HIGHER,55
97,109,Llama-3.1-8B,Baseline,7,5,High,HIGHER,32
98,110,Llama-3.1-8B,Baseline,7,6,High,HIGHER,93
99,111,Llama-3.1-8B,Baseline,7,7,High,HIGHER,90
100,112,Llama-3.1-8B,Baseline,7,8,High,HIGHER,105
101,113,Llama-3.1-8B,Baseline,8,1,Low,HIGHER,250000
102,114,Llama-3.1-8B,Baseline,8,2,Low,HIGHER,250000
103,115,Llama-3.1-8B,Baseline,8,3,Low,HIGHER,250000
104,116,Llama-3.1-8B,Baseline,8,4,Low,HIGHER,250000
105,117,Llama-3.1-8B,Baseline,8,5,Low,HIGHER,250000
106,118,Llama-3.1-8B,Baseline,8,6,Low,HIGHER,250000
107,119,Llama-3.1-8B,Baseline,8,7,Low,HIGHER,250000
108,120,Llama-3.1-8B,Baseline,8,8,Low,HIGHER,250000
109,121,Llama-3.1-8B,Baseline,8,1,High,HIGHER,750000
110,122,Llama-3.1-8B,Baseline,8,2,High,HIGHER,550000
111,123,Llama-3.1-8B,Baseline,8,3,High,HIGHER,250000
112,125,Llama-3.1-8B,Baseline,8,5,High,HIGHER,250000
113,126,Llama-3.1-8B,Baseline,8,6,High,HIGHER,250000
114,127,Llama-3.1-8B,Baseline,8,7,High,HIGHER,250000
115,128,Llama-3.1-8B,Baseline,8,8,High,HIGHER,250000
116,129,Llama-3.1-8B,Baseline,9,1,Low,HIGHER,125
117,130,Llama-3.1-8B,Baseline,9,2,Low,HIGHER,125
118,131,Llama-3.1-8B,Baseline,9,3,Low,HIGHER,125
119,132,Llama-3.1-8B,Baseline,9,4,Low,HIGHER,120
120,133,Llama-3.1-8B,Baseline,9,5,Low,HIGHER,125
121,134,Llama-3.1-8B,Baseline,9,6,Low,HIGHER,120
122,135,Llama-3.1-8B,Baseline,9,7,Low,HIGHER,125
123,136,Llama-3.1-8B,Baseline,9,8,Low,HIGHER,120
124,137,Llama-3.1-8B,Baseline,9,1,High,HIGHER,650
125,138,Llama-3.1-8B,Baseline,9,2,High,HIGHER,550
126,139,Llama-3.1-8B,Baseline,9,3,High,HIGHER,550
127,140,Llama-3.1-8B,Baseline,9,4,High,HIGHER,550
128,141,Llama-3.1-8B,Baseline,9,5,High,HIGHER,650
129,142,Llama-3.1-8B,Baseline,9,6,High,HIGHER,540
130,143,Llama-3.1-8B,Baseline,9,7,High,HIGHER,550
131,144,Llama-3.1-8B,Baseline,9,8,High,HIGHER,550
132,145,Llama-3.1-8B,Baseline,10,1,Low,HIGHER,35000
133,146,Llama-3.1-8B,Baseline,10,2,Low,HIGHER,50000
134,147,Llama-3.1-8B,Baseline,10,3,Low,HIGHER,50000
135,148,Llama-3.1-8B,Baseline,10,4,Low,HIGHER,35000
136,149,Llama-3.1-8B,Baseline,10,5,Low,HIGHER,50000
137,150,Llama-3.1-8B,Baseline,10,6,Low,HIGHER,50000
138,151,Llama-3.1-8B,Baseline,10,7,Low,HIGHER,35000
139,152,Llama-3.1-8B,Baseline,10,8,Low,HIGHER,35000
140,153,Llama-3.1-8B,Baseline,10,1,High,HIGHER,150000
141,154,Llama-3.1-8B,Baseline,10,2,High,HIGHER,150000
142,155,Llama-3.1-8B,Baseline,10,3,High,HIGHER,150000
143,156,Llama-3.1-8B,Baseline,10,4,High,HIGHER,250000
144,157,Llama-3.1-8B,Baseline,10,5,High,HIGHER,250000
145,158,Llama-3.1-8B,Baseline,10,6,High,HIGHER,120000
146,159,Llama-3.1-8B,Baseline,10,7,High,HIGHER,120000
147,160,Llama-3.1-8B,Baseline,10,8,High,HIGHER,150000
148,161,Llama-3.1-8B,Baseline,11,1,Low,HIGHER,30
149,162,Llama-3.1-8B,Baseline,11,2,Low,HIGHER,30
150,163,Llama-3.1-8B,Baseline,11,3,Low,HIGHER,35
151,164,Llama-3.1-8B,Baseline,11,4,Low,HIGHER,30
152,165,Llama-3.1-8B,Baseline,11,5,Low,HIGHER,30
153,166,Llama-3.1-8B,Baseline,11,6,Low,HIGHER,25
154,167,Llama-3.1-8B,Baseline,11,7,Low,HIGHER,25
155,168,Llama-3.1-8B,Baseline,11,8,Low,HIGHER,30
156,169,Llama-3.1-8B,Baseline,11,1,High,HIGHER,65
157,170,Llama-3.1-8B,Baseline,11,2,High,HIGHER,75
158,171,Llama-3.1-8B,Baseline,11,3,High,HIGHER,75
159,172,Llama-3.1-8B,Baseline,11,4,High,HIGHER,85
160,173,Llama-3.1-8B,Baseline,11,5,High,HIGHER,65
161,174,Llama-3.1-8B,Baseline,11,6,High,HIGHER,105
162,175,Llama-3.1-8B,Baseline,11,7,High,HIGHER,85
163,176,Llama-3.1-8B,Baseline,11,8,High,HIGHER,85
164,177,Llama-3.1-8B,Baseline,12,1,Low,HIGHER,120
165,178,Llama-3.1-8B,Baseline,12,2,Low,HIGHER,120
166,179,Llama-3.1-8B,Baseline,12,3,Low,HIGHER,120
167,180,Llama-3.1-8B,Baseline,12,4,Low,HIGHER,120
168,181,Llama-3.1-8B,Baseline,12,5,Low,HIGHER,120
