Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
1,Llama-3.1-8B,Baseline,1,1,Low,HIGHER,15000
2,Llama-3.1-8B,Baseline,1,2,Low,HIGHER,12000
3,Llama-3.1-8B,Baseline,1,3,Low,HIGHER,15000
4,Llama-3.1-8B,Baseline,1,4,Low,HIGHER,15000
5,Llama-3.1-8B,Baseline,1,5,Low,HIGHER,15000
6,Llama-3.1-8B,Baseline,1,6,Low,HIGHER,15000
7,Llama-3.1-8B,Baseline,1,7,Low,HIGHER,15000
8,Llama-3.1-8B,Baseline,1,8,Low,HIGHER,15000
9,Llama-3.1-8B,Baseline,1,1,High,HIGHER,12000
10,Llama-3.1-8B,Baseline,1,2,High,,
11,Llama-3.1-8B,Baseline,1,3,High,,
12,Llama-3.1-8B,Baseline,1,4,High,HIGHER,12000
13,Llama-3.1-8B,Baseline,1,5,High,HIGHER,12000
14,Llama-3.1-8B,Baseline,1,6,High,HIGHER,12000
15,Llama-3.1-8B,Baseline,1,7,High,HIGHER,15000
16,Llama-3.1-8B,Baseline,1,8,High,HIGHER,12000
17,Llama-3.1-8B,Baseline,2,1,Low,HIGHER,950
18,Llama-3.1-8B,Baseline,2,2,Low,HIGHER,1050
19,Llama-3.1-8B,Baseline,2,3,Low,HIGHER,1050
20,Llama-3.1-8B,Baseline,2,4,Low,,
21,Llama-3.1-8B,Baseline,2,5,Low,,
22,Llama-3.1-8B,Baseline,2,6,Low,HIGHER,950
23,Llama-3.1-8B,Baseline,2,7,Low,HIGHER,950
24,Llama-3.1-8B,Baseline,2,8,Low,,
25,Llama-3.1-8B,Baseline,2,1,High,LOWER,20
26,Llama-3.1-8B,Baseline,2,2,High,LOWER,18
27,Llama-3.1-8B,Baseline,2,3,High,HIGHER,1850
28,Llama-3.1-8B,Baseline,2,4,High,HIGHER,18
29,Llama-3.1-8B,Baseline,2,5,High,HIGHER,18
30,Llama-3.1-8B,Baseline,2,6,High,HIGHER,18
31,Llama-3.1-8B,Baseline,2,7,High,HIGHER,18
32,Llama-3.1-8B,Baseline,2,8,High,,
33,Llama-3.1-8B,Baseline,3,1,Low,HIGHER,120
34,Llama-3.1-8B,Baseline,3,2,Low,HIGHER,120
35,Llama-3.1-8B,Baseline,3,3,Low,HIGHER,120
36,Llama-3.1-8B,Baseline,3,4,Low,HIGHER,120
37,Llama-3.1-8B,Baseline,3,5,Low,HIGHER,120
38,Llama-3.1-8B,Baseline,3,6,Low,HIGHER,120
39,Llama-3.1-8B,Baseline,3,7,Low,HIGHER,120
40,Llama-3.1-8B,Baseline,3,8,Low,HIGHER,120
41,Llama-3.1-8B,Baseline,3,1,High,HIGHER,300
42,Llama-3.1-8B,Baseline,3,2,High,HIGHER,300
43,Llama-3.1-8B,Baseline,3,3,High,HIGHER,300
44,Llama-3.1-8B,Baseline,3,4,High,HIGHER,300
45,Llama-3.1-8B,Baseline,3,5,High,HIGHER,300
46,Llama-3.1-8B,Baseline,3,6,High,HIGHER,260
47,Llama-3.1-8B,Baseline,3,7,High,HIGHER,300
48,Llama-3.1-8B,Baseline,3,8,High,HIGHER,300
49,Llama-3.1-8B,Baseline,4,1,Low,HIGHER,10440
50,Llama-3.1-8B,Baseline,4,2,Low,HIGHER,10000
51,Llama-3.1-8B,Baseline,4,3,Low,HIGHER,10000
52,Llama-3.1-8B,Baseline,4,4,Low,HIGHER,10440
53,Llama-3.1-8B,Baseline,4,5,Low,HIGHER,10000
54,Llama-3.1-8B,Baseline,4,6,Low,HIGHER,10000
55,Llama-3.1-8B,Baseline,4,7,Low,HIGHER,10000
56,Llama-3.1-8B,Baseline,4,8,Low,HIGHER,10000
57,Llama-3.1-8B,Baseline,4,1,High,HIGHER,10000
58,Llama-3.1-8B,Baseline,4,2,High,HIGHER,10000
59,Llama-3.1-8B,Baseline,4,3,High,HIGHER,10000
60,Llama-3.1-8B,Baseline,4,4,High,HIGHER,12000
61,Llama-3.1-8B,Baseline,4,5,High,HIGHER,10000
62,Llama-3.1-8B,Baseline,4,6,High,HIGHER,10000
63,Llama-3.1-8B,Baseline,4,7,High,HIGHER,10700
64,Llama-3.1-8B,Baseline,4,8,High,HIGHER,10300
65,Llama-3.1-8B,Baseline,5,1,Low,HIGHER,65
66,Llama-3.1-8B,Baseline,5,2,Low,HIGHER,65
67,Llama-3.1-8B,Baseline,5,3,Low,HIGHER,55
68,Llama-3.1-8B,Baseline,5,4,Low,HIGHER,65
69,Llama-3.1-8B,Baseline,5,5,Low,HIGHER,65
70,Llama-3.1-8B,Baseline,5,6,Low,,
71,Llama-3.1-8B,Baseline,5,7,Low,HIGHER,60
72,Llama-3.1-8B,Baseline,5,8,Low,HIGHER,65
73,Llama-3.1-8B,Baseline,5,1,High,,
74,Llama-3.1-8B,Baseline,5,2,High,,
75,Llama-3.1-8B,Baseline,5,3,High,HIGHER,150
76,Llama-3.1-8B,Baseline,5,4,High,HIGHER,145
77,Llama-3.1-8B,Baseline,5,5,High,,
78,Llama-3.1-8B,Baseline,5,6,High,HIGHER,150
79,Llama-3.1-8B,Baseline,5,7,High,HIGHER,130
80,Llama-3.1-8B,Baseline,5,8,High,HIGHER,130
81,Llama-3.1-8B,Baseline,6,1,Low,HIGHER,38000
82,Llama-3.1-8B,Baseline,6,2,Low,HIGHER,35000
83,Llama-3.1-8B,Baseline,6,3,Low,HIGHER,35000
84,Llama-3.1-8B,Baseline,6,4,Low,HIGHER,35000
85,Llama-3.1-8B,Baseline,6,5,Low,HIGHER,38000
86,Llama-3.1-8B,Baseline,6,6,Low,HIGHER,38000
87,Llama-3.1-8B,Baseline,6,7,Low,HIGHER,35000
88,Llama-3.1-8B,Baseline,6,8,Low,HIGHER,35000
89,Llama-3.1-8B,Baseline,6,1,High,HIGHER,45000
90,Llama-3.1-8B,Baseline,6,2,High,HIGHER,45000
91,Llama-3.1-8B,Baseline,6,3,High,HIGHER,45000
92,Llama-3.1-8B,Baseline,6,4,High,HIGHER,45000
93,Llama-3.1-8B,Baseline,6,5,High,HIGHER,45000
94,Llama-3.1-8B,Baseline,6,6,High,,
95,Llama-3.1-8B,Baseline,6,7,High,HIGHER,45000
96,Llama-3.1-8B,Baseline,6,8,High,HIGHER,45000
97,Llama-3.1-8B,Baseline,7,1,Low,HIGHER,32
98,Llama-3.1-8B,Baseline,7,2,Low,HIGHER,30
99,Llama-3.1-8B,Baseline,7,3,Low,HIGHER,32
100,Llama-3.1-8B,Baseline,7,4,Low,HIGHER,32
