Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
1,Llama-3.1-8B,Debias,1,1,Low,HIGHER,12000.0
2,Llama-3.1-8B,Debias,1,2,Low,HIGHER,12000.0
3,Llama-3.1-8B,Debias,1,3,Low,HIGHER,15000.0
4,Llama-3.1-8B,Debias,1,4,Low,HIGHER,15000.0
5,Llama-3.1-8B,Debias,1,5,Low,HIGHER,12000.0
6,Llama-3.1-8B,Debias,1,6,Low,HIGHER,15000.0
7,Llama-3.1-8B,Debias,1,7,Low,,
8,Llama-3.1-8B,Debias,1,8,Low,HIGHER,12000.0
9,Llama-3.1-8B,Debias,1,1,High,HIGHER,12000.0
10,Llama-3.1-8B,Debias,1,2,High,HIGHER,12000.0
11,Llama-3.1-8B,Debias,1,3,High,HIGHER,12000.0
12,Llama-3.1-8B,Debias,1,4,High,HIGHER,12000.0
13,Llama-3.1-8B,Debias,1,5,High,HIGHER,12000.0
14,Llama-3.1-8B,Debias,1,6,High,,12000.0
15,Llama-3.1-8B,Debias,1,7,High,,
16,Llama-3.1-8B,Debias,1,8,High,HIGHER,12000.0
17,Llama-3.1-8B,Debias,2,1,Low,HIGHER,1250.0
18,Llama-3.1-8B,Debias,2,2,Low,HIGHER,950.0
19,Llama-3.1-8B,Debias,2,3,Low,HIGHER,1050.0
20,Llama-3.1-8B,Debias,2,4,Low,HIGHER,950.0
21,Llama-3.1-8B,Debias,2,5,Low,HIGHER,950.0
22,Llama-3.1-8B,Debias,2,6,Low,HIGHER,950.0
23,Llama-3.1-8B,Debias,2,7,Low,HIGHER,950.0
24,Llama-3.1-8B,Debias,2,8,Low,HIGHER,1050.0
25,Llama-3.1-8B,Debias,2,1,High,HIGHER,1850.0
26,Llama-3.1-8B,Debias,2,2,High,LOWER,1850.0
27,Llama-3.1-8B,Debias,2,3,High,HIGHER,1550.0
28,Llama-3.1-8B,Debias,2,4,High,LOWER,1550.0
29,Llama-3.1-8B,Debias,2,5,High,LOWER,1550.0
30,Llama-3.1-8B,Debias,2,6,High,LOWER,1425.0
31,Llama-3.1-8B,Debias,2,7,High,LOWER,1550.0
32,Llama-3.1-8B,Debias,2,8,High,HIGHER,1550.0
33,Llama-3.1-8B,Debias,3,1,Low,HIGHER,120.0
34,Llama-3.1-8B,Debias,3,2,Low,HIGHER,120.0
35,Llama-3.1-8B,Debias,3,3,Low,HIGHER,120.0
36,Llama-3.1-8B,Debias,3,4,Low,HIGHER,120.0
37,Llama-3.1-8B,Debias,3,5,Low,HIGHER,120.0
38,Llama-3.1-8B,Debias,3,6,Low,HIGHER,120.0
39,Llama-3.1-8B,Debias,3,7,Low,HIGHER,120.0
40,Llama-3.1-8B,Debias,3,8,Low,,
41,Llama-3.1-8B,Debias,3,1,High,HIGHER,180.0
42,Llama-3.1-8B,Debias,3,2,High,HIGHER,150.0
43,Llama-3.1-8B,Debias,3,3,High,HIGHER,180.0
44,Llama-3.1-8B,Debias,3,4,High,HIGHER,150.0
