Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
401,DeepSeek-V3.1,Debias,1,1,Low,HIGHER,10000
402,DeepSeek-V3.1,Debias,1,2,Low,HIGHER,10000
403,DeepSeek-V3.1,Debias,1,3,Low,HIGHER,8000
404,DeepSeek-V3.1,Debias,1,4,Low,HIGHER,10000
405,DeepSeek-V3.1,Debias,1,5,Low,HIGHER,10000
406,DeepSeek-V3.1,Debias,1,6,Low,HIGHER,10000
407,DeepSeek-V3.1,Debias,1,7,Low,HIGHER,15000
408,DeepSeek-V3.1,Debias,1,8,Low,HIGHER,10000
409,DeepSeek-V3.1,Debias,1,1,High,HIGHER,10000
410,DeepSeek-V3.1,Debias,1,2,High,HIGHER,12000
411,DeepSeek-V3.1,Debias,1,3,High,HIGHER,10000
412,DeepSeek-V3.1,Debias,1,4,High,HIGHER,10000
413,DeepSeek-V3.1,Debias,1,5,High,HIGHER,12000
414,DeepSeek-V3.1,Debias,1,6,High,HIGHER,12000
415,DeepSeek-V3.1,Debias,1,7,High,HIGHER,10000
416,DeepSeek-V3.1,Debias,1,8,High,HIGHER,10000
417,DeepSeek-V3.1,Debias,2,1,Low,HIGHER,15
418,DeepSeek-V3.1,Debias,2,2,Low,HIGHER,15
419,DeepSeek-V3.1,Debias,2,3,Low,HIGHER,15
420,DeepSeek-V3.1,Debias,2,4,Low,HIGHER,12
421,DeepSeek-V3.1,Debias,2,5,Low,HIGHER,15
422,DeepSeek-V3.1,Debias,2,6,Low,HIGHER,15
423,DeepSeek-V3.1,Debias,2,7,Low,HIGHER,15
424,DeepSeek-V3.1,Debias,2,8,Low,HIGHER,15
425,DeepSeek-V3.1,Debias,2,1,High,LOWER,15
426,DeepSeek-V3.1,Debias,2,2,High,LOWER,15
427,DeepSeek-V3.1,Debias,2,3,High,LOWER,16
428,DeepSeek-V3.1,Debias,2,4,High,LOWER,15
429,DeepSeek-V3.1,Debias,2,5,High,LOWER,16
430,DeepSeek-V3.1,Debias,2,6,High,LOWER,16
431,DeepSeek-V3.1,Debias,2,7,High,LOWER,15
432,DeepSeek-V3.1,Debias,2,8,High,LOWER,16
433,DeepSeek-V3.1,Debias,3,1,Low,HIGHER,120
434,DeepSeek-V3.1,Debias,3,2,Low,HIGHER,120
435,DeepSeek-V3.1,Debias,3,3,Low,HIGHER,120
436,DeepSeek-V3.1,Debias,3,4,Low,HIGHER,120
437,DeepSeek-V3.1,Debias,3,5,Low,HIGHER,120
438,DeepSeek-V3.1,Debias,3,6,Low,HIGHER,138
439,DeepSeek-V3.1,Debias,3,7,Low,HIGHER,115
440,DeepSeek-V3.1,Debias,3,8,Low,HIGHER,125
441,DeepSeek-V3.1,Debias,3,1,High,HIGHER,150
442,DeepSeek-V3.1,Debias,3,2,High,LOWER,150
443,DeepSeek-V3.1,Debias,3,3,High,HIGHER,150
444,DeepSeek-V3.1,Debias,3,4,High,HIGHER,135
445,DeepSeek-V3.1,Debias,3,5,High,HIGHER,145
446,DeepSeek-V3.1,Debias,3,6,High,LOWER,120
447,DeepSeek-V3.1,Debias,3,7,High,HIGHER,140
448,DeepSeek-V3.1,Debias,3,8,High,HIGHER,130
449,DeepSeek-V3.1,Debias,4,1,Low,HIGHER,10500
450,DeepSeek-V3.1,Debias,4,2,Low,HIGHER,10000
451,DeepSeek-V3.1,Debias,4,3,Low,HIGHER,10500
452,DeepSeek-V3.1,Debias,4,4,Low,HIGHER,10500
453,DeepSeek-V3.1,Debias,4,5,Low,HIGHER,10500
454,DeepSeek-V3.1,Debias,4,6,Low,HIGHER,10500
455,DeepSeek-V3.1,Debias,4,7,Low,HIGHER,10500
456,DeepSeek-V3.1,Debias,4,8,Low,HIGHER,10500
457,DeepSeek-V3.1,Debias,4,1,High,LOWER,10500
458,DeepSeek-V3.1,Debias,4,2,High,LOWER,10000
459,DeepSeek-V3.1,Debias,4,3,High,LOWER,10500
460,DeepSeek-V3.1,Debias,4,4,High,LOWER,10800
461,DeepSeek-V3.1,Debias,4,5,High,LOWER,10500
462,DeepSeek-V3.1,Debias,4,6,High,LOWER,10500
463,DeepSeek-V3.1,Debias,4,7,High,LOWER,10500
464,DeepSeek-V3.1,Debias,4,8,High,LOWER,10000
465,DeepSeek-V3.1,Debias,5,1,Low,HIGHER,120
466,DeepSeek-V3.1,Debias,5,2,Low,HIGHER,125
467,DeepSeek-V3.1,Debias,5,3,Low,HIGHER,125
468,DeepSeek-V3.1,Debias,5,4,Low,HIGHER,110
469,DeepSeek-V3.1,Debias,5,5,Low,HIGHER,125
470,DeepSeek-V3.1,Debias,5,6,Low,HIGHER,125
471,DeepSeek-V3.1,Debias,5,7,Low,HIGHER,115
472,DeepSeek-V3.1,Debias,5,8,Low,HIGHER,125
473,DeepSeek-V3.1,Debias,5,1,High,HIGHER,150
474,DeepSeek-V3.1,Debias,5,2,High,HIGHER,150
475,DeepSeek-V3.1,Debias,5,3,High,HIGHER,145
476,DeepSeek-V3.1,Debias,5,4,High,HIGHER,145
477,DeepSeek-V3.1,Debias,5,5,High,HIGHER,150
478,DeepSeek-V3.1,Debias,5,6,High,HIGHER,150
479,DeepSeek-V3.1,Debias,5,7,High,HIGHER,150
480,DeepSeek-V3.1,Debias,5,8,High,HIGHER,150
481,DeepSeek-V3.1,Debias,6,1,Low,HIGHER,55000
482,DeepSeek-V3.1,Debias,6,2,Low,HIGHER,55000
483,DeepSeek-V3.1,Debias,6,3,Low,HIGHER,55000
484,DeepSeek-V3.1,Debias,6,4,Low,HIGHER,55000
485,DeepSeek-V3.1,Debias,6,5,Low,HIGHER,55000
486,DeepSeek-V3.1,Debias,6,6,Low,HIGHER,55000
487,DeepSeek-V3.1,Debias,6,7,Low,HIGHER,55000
488,DeepSeek-V3.1,Debias,6,8,Low,HIGHER,55000
489,DeepSeek-V3.1,Debias,6,1,High,LOWER,65000
490,DeepSeek-V3.1,Debias,6,2,High,LOWER,55000
491,DeepSeek-V3.1,Debias,6,3,High,LOWER,66981
492,DeepSeek-V3.1,Debias,6,4,High,LOWER,67000
493,DeepSeek-V3.1,Debias,6,5,High,LOWER,55000
494,DeepSeek-V3.1,Debias,6,6,High,LOWER,61000
495,DeepSeek-V3.1,Debias,6,7,High,LOWER,66000
496,DeepSeek-V3.1,Debias,6,8,High,LOWER,65000
497,DeepSeek-V3.1,Debias,7,1,Low,HIGHER,30
498,DeepSeek-V3.1,Debias,7,2,Low,HIGHER,35
499,DeepSeek-V3.1,Debias,7,3,Low,HIGHER,30
500,DeepSeek-V3.1,Debias,7,4,Low,HIGHER,30
501,DeepSeek-V3.1,Debias,7,5,Low,HIGHER,30
502,DeepSeek-V3.1,Debias,7,6,Low,HIGHER,28
503,DeepSeek-V3.1,Debias,7,7,Low,HIGHER,30
504,DeepSeek-V3.1,Debias,7,8,Low,HIGHER,30
505,DeepSeek-V3.1,Debias,7,1,High,HIGHER,32
506,DeepSeek-V3.1,Debias,7,2,High,HIGHER,32
507,DeepSeek-V3.1,Debias,7,3,High,HIGHER,33
508,DeepSeek-V3.1,Debias,7,4,High,HIGHER,30
