Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
1,Llama-3.1-8B,Debias,1,1,Low,HIGHER,12000
2,Llama-3.1-8B,Debias,1,2,Low,HIGHER,12000
3,Llama-3.1-8B,Debias,1,3,Low,HIGHER,15000
4,Llama-3.1-8B,Debias,1,4,Low,HIGHER,15000
5,Llama-3.1-8B,Debias,1,5,Low,HIGHER,12000
6,Llama-3.1-8B,Debias,1,6,Low,HIGHER,15000
7,Llama-3.1-8B,Debias,1,7,Low,,
8,Llama-3.1-8B,Debias,1,8,Low,HIGHER,12000
9,Llama-3.1-8B,Debias,1,1,High,HIGHER,12000
10,Llama-3.1-8B,Debias,1,2,High,HIGHER,12000
11,Llama-3.1-8B,Debias,1,3,High,HIGHER,12000
12,Llama-3.1-8B,Debias,1,4,High,HIGHER,12000
13,Llama-3.1-8B,Debias,1,5,High,HIGHER,12000
14,Llama-3.1-8B,Debias,1,6,High,,12000
15,Llama-3.1-8B,Debias,1,7,High,,
16,Llama-3.1-8B,Debias,1,8,High,HIGHER,12000
17,Llama-3.1-8B,Debias,2,1,Low,HIGHER,1250
18,Llama-3.1-8B,Debias,2,2,Low,HIGHER,950
19,Llama-3.1-8B,Debias,2,3,Low,HIGHER,1050
20,Llama-3.1-8B,Debias,2,4,Low,HIGHER,950
21,Llama-3.1-8B,Debias,2,5,Low,HIGHER,950
22,Llama-3.1-8B,Debias,2,6,Low,HIGHER,950
23,Llama-3.1-8B,Debias,2,7,Low,HIGHER,950
24,Llama-3.1-8B,Debias,2,8,Low,HIGHER,1050
25,Llama-3.1-8B,Debias,2,1,High,HIGHER,1850
26,Llama-3.1-8B,Debias,2,2,High,LOWER,1850
27,Llama-3.1-8B,Debias,2,3,High,HIGHER,1550
28,Llama-3.1-8B,Debias,2,4,High,LOWER,1550
29,Llama-3.1-8B,Debias,2,5,High,LOWER,1550
30,Llama-3.1-8B,Debias,2,6,High,LOWER,1425
31,Llama-3.1-8B,Debias,2,7,High,LOWER,1550
32,Llama-3.1-8B,Debias,2,8,High,HIGHER,1550
33,Llama-3.1-8B,Debias,3,1,Low,HIGHER,120
34,Llama-3.1-8B,Debias,3,2,Low,HIGHER,120
35,Llama-3.1-8B,Debias,3,3,Low,HIGHER,120
36,Llama-3.1-8B,Debias,3,4,Low,HIGHER,120
37,Llama-3.1-8B,Debias,3,5,Low,HIGHER,120
38,Llama-3.1-8B,Debias,3,6,Low,HIGHER,120
39,Llama-3.1-8B,Debias,3,7,Low,HIGHER,120
40,Llama-3.1-8B,Debias,3,8,Low,,
41,Llama-3.1-8B,Debias,3,1,High,HIGHER,180
42,Llama-3.1-8B,Debias,3,2,High,HIGHER,150
43,Llama-3.1-8B,Debias,3,3,High,HIGHER,180
44,Llama-3.1-8B,Debias,3,4,High,HIGHER,150
45,Llama-3.1-8B,Debias,3,5,High,HIGHER,150
46,Llama-3.1-8B,Debias,3,6,High,HIGHER,150
47,Llama-3.1-8B,Debias,3,7,High,HIGHER,180
48,Llama-3.1-8B,Debias,3,8,High,HIGHER,150
49,Llama-3.1-8B,Debias,4,1,Low,HIGHER,9500
50,Llama-3.1-8B,Debias,4,2,Low,HIGHER,9300
51,Llama-3.1-8B,Debias,4,3,Low,HIGHER,10230
52,Llama-3.1-8B,Debias,4,4,Low,HIGHER,10700
53,Llama-3.1-8B,Debias,4,5,Low,HIGHER,9600
54,Llama-3.1-8B,Debias,4,6,Low,HIGHER,9300
55,Llama-3.1-8B,Debias,4,7,Low,HIGHER,10600
56,Llama-3.1-8B,Debias,4,8,Low,HIGHER,9300
57,Llama-3.1-8B,Debias,4,1,High,HIGHER,10000
58,Llama-3.1-8B,Debias,4,2,High,HIGHER,10000
59,Llama-3.1-8B,Debias,4,3,High,HIGHER,10000
60,Llama-3.1-8B,Debias,4,4,High,HIGHER,12000
61,Llama-3.1-8B,Debias,4,5,High,HIGHER,10000
62,Llama-3.1-8B,Debias,4,6,High,HIGHER,12000
63,Llama-3.1-8B,Debias,4,7,High,HIGHER,10300
64,Llama-3.1-8B,Debias,4,8,High,HIGHER,10000
65,Llama-3.1-8B,Debias,5,1,Low,HIGHER,55
66,Llama-3.1-8B,Debias,5,2,Low,,
67,Llama-3.1-8B,Debias,5,3,Low,HIGHER,55
68,Llama-3.1-8B,Debias,5,4,Low,HIGHER,55
69,Llama-3.1-8B,Debias,5,5,Low,,45
70,Llama-3.1-8B,Debias,5,6,Low,HIGHER,65
71,Llama-3.1-8B,Debias,5,7,Low,HIGHER,55
72,Llama-3.1-8B,Debias,5,8,Low,,
73,Llama-3.1-8B,Debias,5,1,High,,
74,Llama-3.1-8B,Debias,5,2,High,HIGHER,130
75,Llama-3.1-8B,Debias,5,3,High,HIGHER,125
76,Llama-3.1-8B,Debias,5,4,High,HIGHER,135
77,Llama-3.1-8B,Debias,5,5,High,HIGHER,135
78,Llama-3.1-8B,Debias,5,6,High,HIGHER,135
79,Llama-3.1-8B,Debias,5,7,High,,
80,Llama-3.1-8B,Debias,5,8,High,HIGHER,130
81,Llama-3.1-8B,Debias,6,1,Low,HIGHER,36000
82,Llama-3.1-8B,Debias,6,2,Low,,35000
83,Llama-3.1-8B,Debias,6,3,Low,HIGHER,35000
84,Llama-3.1-8B,Debias,6,4,Low,HIGHER,35000
85,Llama-3.1-8B,Debias,6,5,Low,HIGHER,35000
86,Llama-3.1-8B,Debias,6,6,Low,HIGHER,35000
87,Llama-3.1-8B,Debias,6,7,Low,HIGHER,35000
88,Llama-3.1-8B,Debias,6,8,Low,HIGHER,35000
89,Llama-3.1-8B,Debias,6,1,High,HIGHER,45000
90,Llama-3.1-8B,Debias,6,2,High,LOWER,45000
91,Llama-3.1-8B,Debias,6,3,High,LOWER,45000
92,Llama-3.1-8B,Debias,6,4,High,LOWER,45000
93,Llama-3.1-8B,Debias,6,5,High,LOWER,45000
94,Llama-3.1-8B,Debias,6,6,High,LOWER,45000
95,Llama-3.1-8B,Debias,6,7,High,HIGHER,45000
96,Llama-3.1-8B,Debias,6,8,High,LOWER,45000
97,Llama-3.1-8B,Debias,7,1,Low,HIGHER,324
98,Llama-3.1-8B,Debias,7,2,Low,HIGHER,34
99,Llama-3.1-8B,Debias,7,3,Low,HIGHER,32
100,Llama-3.1-8B,Debias,7,4,Low,HIGHER,32
101,Llama-3.1-8B,Debias,7,5,Low,HIGHER,31
102,Llama-3.1-8B,Debias,7,6,Low,HIGHER,31
103,Llama-3.1-8B,Debias,7,7,Low,HIGHER,32
104,Llama-3.1-8B,Debias,7,8,Low,HIGHER,30
105,Llama-3.1-8B,Debias,7,1,High,HIGHER,32
106,Llama-3.1-8B,Debias,7,2,High,HIGHER,30
107,Llama-3.1-8B,Debias,7,3,High,HIGHER,35
108,Llama-3.1-8B,Debias,7,4,High,HIGHER,32
109,Llama-3.1-8B,Debias,7,5,High,,45
110,Llama-3.1-8B,Debias,7,6,High,HIGHER,35
111,Llama-3.1-8B,Debias,7,7,High,HIGHER,355
112,Llama-3.1-8B,Debias,7,8,High,HIGHER,32
