Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
1,Llama-3.1-8B,Estimate-First,1,1,Low,HIGHER,5000
2,Llama-3.1-8B,Estimate-First,1,2,Low,HIGHER,12000
3,Llama-3.1-8B,Estimate-First,1,3,Low,HIGHER,15000
4,Llama-3.1-8B,Estimate-First,1,4,Low,HIGHER,8000
5,Llama-3.1-8B,Estimate-First,1,5,Low,HIGHER,12000
6,Llama-3.1-8B,Estimate-First,1,6,Low,HIGHER,12000
7,Llama-3.1-8B,Estimate-First,1,7,Low,HIGHER,8500
8,Llama-3.1-8B,Estimate-First,1,8,Low,HIGHER,15000
9,Llama-3.1-8B,Estimate-First,1,1,High,LOWER,6000
10,Llama-3.1-8B,Estimate-First,1,2,High,HIGHER,12000
11,Llama-3.1-8B,Estimate-First,1,3,High,HIGHER,12000
12,Llama-3.1-8B,Estimate-First,1,4,High,HIGHER,12000
13,Llama-3.1-8B,Estimate-First,1,5,High,HIGHER,12000
14,Llama-3.1-8B,Estimate-First,1,6,High,LOWER,6500
15,Llama-3.1-8B,Estimate-First,1,7,High,LOWER,6000
16,Llama-3.1-8B,Estimate-First,1,8,High,HIGHER,12000
17,Llama-3.1-8B,Estimate-First,2,1,Low,LOWER,750
18,Llama-3.1-8B,Estimate-First,2,2,Low,LOWER,750
19,Llama-3.1-8B,Estimate-First,2,3,Low,LOWER,750
20,Llama-3.1-8B,Estimate-First,2,4,Low,LOWER,750
21,Llama-3.1-8B,Estimate-First,2,5,Low,LOWER,750
22,Llama-3.1-8B,Estimate-First,2,6,Low,LOWER,750
23,Llama-3.1-8B,Estimate-First,2,7,Low,LOWER,750
24,Llama-3.1-8B,Estimate-First,2,8,Low,LOWER,750
25,Llama-3.1-8B,Estimate-First,2,1,High,LOWER,18
26,Llama-3.1-8B,Estimate-First,2,2,High,LOWER,18
27,Llama-3.1-8B,Estimate-First,2,3,High,LOWER,18
28,Llama-3.1-8B,Estimate-First,2,4,High,LOWER,1850
29,Llama-3.1-8B,Estimate-First,2,5,High,LOWER,25
30,Llama-3.1-8B,Estimate-First,2,6,High,LOWER,15
31,Llama-3.1-8B,Estimate-First,2,7,High,LOWER,18
32,Llama-3.1-8B,Estimate-First,2,8,High,LOWER,1850
33,Llama-3.1-8B,Estimate-First,3,1,Low,LOWER,45
34,Llama-3.1-8B,Estimate-First,3,2,Low,LOWER,45
35,Llama-3.1-8B,Estimate-First,3,3,Low,LOWER,45
36,Llama-3.1-8B,Estimate-First,3,4,Low,LOWER,45
37,Llama-3.1-8B,Estimate-First,3,5,Low,LOWER,45
38,Llama-3.1-8B,Estimate-First,3,6,Low,LOWER,45
39,Llama-3.1-8B,Estimate-First,3,7,Low,LOWER,45
