Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
401,Mistral-Large-3,Estimate-First,1,1,Low,HIGHER,8000
402,Mistral-Large-3,Estimate-First,1,2,Low,HIGHER,8000
403,Mistral-Large-3,Estimate-First,1,3,Low,HIGHER,5000
404,Mistral-Large-3,Estimate-First,1,4,Low,HIGHER,8000
405,Mistral-Large-3,Estimate-First,1,5,Low,HIGHER,8000
406,Mistral-Large-3,Estimate-First,1,6,Low,HIGHER,8000
407,Mistral-Large-3,Estimate-First,1,7,Low,HIGHER,8000
408,Mistral-Large-3,Estimate-First,1,8,Low,HIGHER,8000
409,Mistral-Large-3,Estimate-First,1,1,High,HIGHER,12000
410,Mistral-Large-3,Estimate-First,1,2,High,HIGHER,12000
411,Mistral-Large-3,Estimate-First,1,3,High,HIGHER,12000
412,Mistral-Large-3,Estimate-First,1,4,High,HIGHER,12000
413,Mistral-Large-3,Estimate-First,1,5,High,HIGHER,12000
414,Mistral-Large-3,Estimate-First,1,6,High,HIGHER,12000
415,Mistral-Large-3,Estimate-First,1,7,High,HIGHER,12000
416,Mistral-Large-3,Estimate-First,1,8,High,HIGHER,12000
417,Mistral-Large-3,Estimate-First,2,1,Low,HIGHER,12
418,Mistral-Large-3,Estimate-First,2,2,Low,HIGHER,12
419,Mistral-Large-3,Estimate-First,2,3,Low,HIGHER,12
420,Mistral-Large-3,Estimate-First,2,4,Low,HIGHER,12
421,Mistral-Large-3,Estimate-First,2,5,Low,HIGHER,12
422,Mistral-Large-3,Estimate-First,2,6,Low,HIGHER,12
423,Mistral-Large-3,Estimate-First,2,7,Low,HIGHER,12
424,Mistral-Large-3,Estimate-First,2,8,Low,HIGHER,12
425,Mistral-Large-3,Estimate-First,2,1,High,LOWER,15
426,Mistral-Large-3,Estimate-First,2,2,High,LOWER,15
427,Mistral-Large-3,Estimate-First,2,3,High,LOWER,15
428,Mistral-Large-3,Estimate-First,2,4,High,LOWER,15
429,Mistral-Large-3,Estimate-First,2,5,High,LOWER,15
430,Mistral-Large-3,Estimate-First,2,6,High,LOWER,15
431,Mistral-Large-3,Estimate-First,2,7,High,LOWER,15
432,Mistral-Large-3,Estimate-First,2,8,High,LOWER,15
433,Mistral-Large-3,Estimate-First,3,1,Low,LOWER,120
434,Mistral-Large-3,Estimate-First,3,2,Low,LOWER,120
435,Mistral-Large-3,Estimate-First,3,3,Low,LOWER,120
436,Mistral-Large-3,Estimate-First,3,4,Low,LOWER,120
437,Mistral-Large-3,Estimate-First,3,5,Low,LOWER,120
438,Mistral-Large-3,Estimate-First,3,6,Low,LOWER,120
439,Mistral-Large-3,Estimate-First,3,7,Low,LOWER,120
440,Mistral-Large-3,Estimate-First,3,8,Low,LOWER,120
441,Mistral-Large-3,Estimate-First,3,1,High,LOWER,150
442,Mistral-Large-3,Estimate-First,3,2,High,LOWER,150
443,Mistral-Large-3,Estimate-First,3,3,High,LOWER,150
444,Mistral-Large-3,Estimate-First,3,4,High,LOWER,150
445,Mistral-Large-3,Estimate-First,3,5,High,LOWER,150
446,Mistral-Large-3,Estimate-First,3,6,High,LOWER,150
447,Mistral-Large-3,Estimate-First,3,7,High,LOWER,150
448,Mistral-Large-3,Estimate-First,3,8,High,LOWER,150
449,Mistral-Large-3,Estimate-First,4,1,Low,LOWER,7000
450,Mistral-Large-3,Estimate-First,4,2,Low,LOWER,7000
451,Mistral-Large-3,Estimate-First,4,3,Low,LOWER,7000
452,Mistral-Large-3,Estimate-First,4,4,Low,LOWER,7000
453,Mistral-Large-3,Estimate-First,4,5,Low,LOWER,7000
454,Mistral-Large-3,Estimate-First,4,6,Low,LOWER,7000
455,Mistral-Large-3,Estimate-First,4,7,Low,LOWER,7000
456,Mistral-Large-3,Estimate-First,4,8,Low,LOWER,7000
457,Mistral-Large-3,Estimate-First,4,1,High,LOWER,11000
458,Mistral-Large-3,Estimate-First,4,2,High,LOWER,11000
459,Mistral-Large-3,Estimate-First,4,3,High,LOWER,11000
460,Mistral-Large-3,Estimate-First,4,4,High,LOWER,11000
461,Mistral-Large-3,Estimate-First,4,5,High,LOWER,11000
462,Mistral-Large-3,Estimate-First,4,6,High,LOWER,11000
463,Mistral-Large-3,Estimate-First,4,7,High,LOWER,11000
464,Mistral-Large-3,Estimate-First,4,8,High,LOWER,11000
465,Mistral-Large-3,Estimate-First,5,1,Low,HIGHER,120
466,Mistral-Large-3,Estimate-First,5,2,Low,HIGHER,120
467,Mistral-Large-3,Estimate-First,5,3,Low,HIGHER,120
468,Mistral-Large-3,Estimate-First,5,4,Low,HIGHER,120
469,Mistral-Large-3,Estimate-First,5,5,Low,HIGHER,120
470,Mistral-Large-3,Estimate-First,5,6,Low,HIGHER,120
471,Mistral-Large-3,Estimate-First,5,7,Low,HIGHER,120
472,Mistral-Large-3,Estimate-First,5,8,Low,HIGHER,120
473,Mistral-Large-3,Estimate-First,5,1,High,HIGHER,150
474,Mistral-Large-3,Estimate-First,5,2,High,HIGHER,150
475,Mistral-Large-3,Estimate-First,5,3,High,HIGHER,150
476,Mistral-Large-3,Estimate-First,5,4,High,HIGHER,150
477,Mistral-Large-3,Estimate-First,5,5,High,HIGHER,150
478,Mistral-Large-3,Estimate-First,5,6,High,HIGHER,150
479,Mistral-Large-3,Estimate-First,5,7,High,HIGHER,150
480,Mistral-Large-3,Estimate-First,5,8,High,HIGHER,150
481,Mistral-Large-3,Estimate-First,6,1,Low,HIGHER,55000
482,Mistral-Large-3,Estimate-First,6,2,Low,HIGHER,55000
483,Mistral-Large-3,Estimate-First,6,3,Low,HIGHER,55000
484,Mistral-Large-3,Estimate-First,6,4,Low,HIGHER,55000
485,Mistral-Large-3,Estimate-First,6,5,Low,HIGHER,55000
486,Mistral-Large-3,Estimate-First,6,6,Low,HIGHER,55000
487,Mistral-Large-3,Estimate-First,6,7,Low,HIGHER,55000
488,Mistral-Large-3,Estimate-First,6,8,Low,HIGHER,55000
489,Mistral-Large-3,Estimate-First,6,1,High,LOWER,55000
490,Mistral-Large-3,Estimate-First,6,2,High,LOWER,55000
491,Mistral-Large-3,Estimate-First,6,3,High,LOWER,55000
492,Mistral-Large-3,Estimate-First,6,4,High,LOWER,55000
493,Mistral-Large-3,Estimate-First,6,5,High,LOWER,55000
494,Mistral-Large-3,Estimate-First,6,6,High,LOWER,55000
495,Mistral-Large-3,Estimate-First,6,7,High,LOWER,55000
496,Mistral-Large-3,Estimate-First,6,8,High,LOWER,55000
497,Mistral-Large-3,Estimate-First,7,1,Low,HIGHER,28
498,Mistral-Large-3,Estimate-First,7,2,Low,HIGHER,28
499,Mistral-Large-3,Estimate-First,7,3,Low,HIGHER,28
500,Mistral-Large-3,Estimate-First,7,4,Low,HIGHER,28
501,Mistral-Large-3,Estimate-First,7,5,Low,HIGHER,28
502,Mistral-Large-3,Estimate-First,7,6,Low,HIGHER,28
503,Mistral-Large-3,Estimate-First,7,7,Low,HIGHER,28
504,Mistral-Large-3,Estimate-First,7,8,Low,HIGHER,28
505,Mistral-Large-3,Estimate-First,7,1,High,LOWER,30
506,Mistral-Large-3,Estimate-First,7,2,High,LOWER,30
507,Mistral-Large-3,Estimate-First,7,3,High,LOWER,30
508,Mistral-Large-3,Estimate-First,7,4,High,LOWER,30
509,Mistral-Large-3,Estimate-First,7,5,High,LOWER,30
510,Mistral-Large-3,Estimate-First,7,6,High,LOWER,30
511,Mistral-Large-3,Estimate-First,7,7,High,LOWER,30
512,Mistral-Large-3,Estimate-First,7,8,High,LOWER,30
513,Mistral-Large-3,Estimate-First,8,1,Low,HIGHER,500000
514,Mistral-Large-3,Estimate-First,8,2,Low,HIGHER,500000
515,Mistral-Large-3,Estimate-First,8,3,Low,HIGHER,500000
516,Mistral-Large-3,Estimate-First,8,4,Low,HIGHER,500000
517,Mistral-Large-3,Estimate-First,8,5,Low,HIGHER,500000
518,Mistral-Large-3,Estimate-First,8,6,Low,HIGHER,500000
519,Mistral-Large-3,Estimate-First,8,7,Low,HIGHER,500000
520,Mistral-Large-3,Estimate-First,8,8,Low,HIGHER,500000
521,Mistral-Large-3,Estimate-First,8,1,High,LOWER,300000
522,Mistral-Large-3,Estimate-First,8,2,High,LOWER,300000
523,Mistral-Large-3,Estimate-First,8,3,High,LOWER,300000
524,Mistral-Large-3,Estimate-First,8,4,High,LOWER,300000
525,Mistral-Large-3,Estimate-First,8,5,High,LOWER,300000
526,Mistral-Large-3,Estimate-First,8,6,High,LOWER,300000
527,Mistral-Large-3,Estimate-First,8,7,High,LOWER,300000
528,Mistral-Large-3,Estimate-First,8,8,High,LOWER,300000
529,Mistral-Large-3,Estimate-First,9,1,Low,HIGHER,150
530,Mistral-Large-3,Estimate-First,9,2,Low,HIGHER,150
531,Mistral-Large-3,Estimate-First,9,3,Low,HIGHER,150
532,Mistral-Large-3,Estimate-First,9,4,Low,HIGHER,150
533,Mistral-Large-3,Estimate-First,9,5,Low,HIGHER,150
534,Mistral-Large-3,Estimate-First,9,6,Low,HIGHER,150
535,Mistral-Large-3,Estimate-First,9,7,Low,HIGHER,150
536,Mistral-Large-3,Estimate-First,9,8,Low,HIGHER,150
537,Mistral-Large-3,Estimate-First,9,1,High,LOWER,250
538,Mistral-Large-3,Estimate-First,9,2,High,LOWER,250
539,Mistral-Large-3,Estimate-First,9,3,High,LOWER,250
540,Mistral-Large-3,Estimate-First,9,4,High,LOWER,250
541,Mistral-Large-3,Estimate-First,9,5,High,LOWER,250
542,Mistral-Large-3,Estimate-First,9,6,High,LOWER,250
543,Mistral-Large-3,Estimate-First,9,7,High,LOWER,250
544,Mistral-Large-3,Estimate-First,9,8,High,LOWER,250
545,Mistral-Large-3,Estimate-First,10,1,Low,HIGHER,500000
546,Mistral-Large-3,Estimate-First,10,2,Low,HIGHER,500000
547,Mistral-Large-3,Estimate-First,10,3,Low,HIGHER,500000
548,Mistral-Large-3,Estimate-First,10,4,Low,HIGHER,500000
549,Mistral-Large-3,Estimate-First,10,5,Low,HIGHER,500000
550,Mistral-Large-3,Estimate-First,10,6,Low,HIGHER,500000
551,Mistral-Large-3,Estimate-First,10,7,Low,HIGHER,500000
552,Mistral-Large-3,Estimate-First,10,8,Low,HIGHER,500000
553,Mistral-Large-3,Estimate-First,10,1,High,HIGHER,500000
554,Mistral-Large-3,Estimate-First,10,2,High,HIGHER,500000
555,Mistral-Large-3,Estimate-First,10,3,High,HIGHER,500000
556,Mistral-Large-3,Estimate-First,10,4,High,HIGHER,500000
557,Mistral-Large-3,Estimate-First,10,5,High,HIGHER,500000
558,Mistral-Large-3,Estimate-First,10,6,High,HIGHER,500000
559,Mistral-Large-3,Estimate-First,10,7,High,HIGHER,500000
560,Mistral-Large-3,Estimate-First,10,8,High,HIGHER,500000
561,Mistral-Large-3,Estimate-First,11,1,Low,LOWER,12
562,Mistral-Large-3,Estimate-First,11,2,Low,LOWER,12
563,Mistral-Large-3,Estimate-First,11,3,Low,LOWER,12
564,Mistral-Large-3,Estimate-First,11,4,Low,LOWER,12
565,Mistral-Large-3,Estimate-First,11,5,Low,LOWER,12
566,Mistral-Large-3,Estimate-First,11,6,Low,LOWER,12
567,Mistral-Large-3,Estimate-First,11,7,Low,LOWER,12
568,Mistral-Large-3,Estimate-First,11,8,Low,LOWER,12
569,Mistral-Large-3,Estimate-First,11,1,High,LOWER,45
570,Mistral-Large-3,Estimate-First,11,2,High,LOWER,45
571,Mistral-Large-3,Estimate-First,11,3,High,LOWER,45
572,Mistral-Large-3,Estimate-First,11,4,High,LOWER,45
573,Mistral-Large-3,Estimate-First,11,5,High,LOWER,45
574,Mistral-Large-3,Estimate-First,11,6,High,LOWER,45
575,Mistral-Large-3,Estimate-First,11,7,High,LOWER,45
576,Mistral-Large-3,Estimate-First,11,8,High,LOWER,35
577,Mistral-Large-3,Estimate-First,12,1,Low,HIGHER,300
578,Mistral-Large-3,Estimate-First,12,2,Low,HIGHER,300
579,Mistral-Large-3,Estimate-First,12,3,Low,HIGHER,300
580,Mistral-Large-3,Estimate-First,12,4,Low,HIGHER,300
581,Mistral-Large-3,Estimate-First,12,5,Low,HIGHER,300
582,Mistral-Large-3,Estimate-First,12,6,Low,HIGHER,300
583,Mistral-Large-3,Estimate-First,12,7,Low,HIGHER,300
584,Mistral-Large-3,Estimate-First,12,8,Low,HIGHER,300
585,Mistral-Large-3,Estimate-First,12,1,High,LOWER,250
586,Mistral-Large-3,Estimate-First,12,2,High,LOWER,250
587,Mistral-Large-3,Estimate-First,12,3,High,LOWER,250
588,Mistral-Large-3,Estimate-First,12,4,High,LOWER,250
589,Mistral-Large-3,Estimate-First,12,5,High,LOWER,250
590,Mistral-Large-3,Estimate-First,12,6,High,LOWER,250
591,Mistral-Large-3,Estimate-First,12,7,High,LOWER,250
592,Mistral-Large-3,Estimate-First,12,8,High,LOWER,250
593,Mistral-Large-3,Estimate-First,13,1,Low,HIGHER,50000000
594,Mistral-Large-3,Estimate-First,13,2,Low,HIGHER,50000000
595,Mistral-Large-3,Estimate-First,13,3,Low,HIGHER,50000000
596,Mistral-Large-3,Estimate-First,13,4,Low,HIGHER,50000000
597,Mistral-Large-3,Estimate-First,13,5,Low,HIGHER,50000000
598,Mistral-Large-3,Estimate-First,13,6,Low,HIGHER,50000000
599,Mistral-Large-3,Estimate-First,13,7,Low,HIGHER,50000000
600,Mistral-Large-3,Estimate-First,13,8,Low,HIGHER,50000000
601,Mistral-Large-3,Estimate-First,13,1,High,HIGHER,100000000
602,Mistral-Large-3,Estimate-First,13,2,High,HIGHER,100000000
603,Mistral-Large-3,Estimate-First,13,3,High,HIGHER,100000000
604,Mistral-Large-3,Estimate-First,13,4,High,HIGHER,100000000
605,Mistral-Large-3,Estimate-First,13,5,High,HIGHER,100000000
606,Mistral-Large-3,Estimate-First,13,6,High,HIGHER,100000000
607,Mistral-Large-3,Estimate-First,13,7,High,HIGHER,100000000
608,Mistral-Large-3,Estimate-First,13,8,High,HIGHER,100000000
609,Mistral-Large-3,Estimate-First,14,1,Low,HIGHER,2000
610,Mistral-Large-3,Estimate-First,14,2,Low,HIGHER,2000
611,Mistral-Large-3,Estimate-First,14,3,Low,LOWER,1200
612,Mistral-Large-3,Estimate-First,14,4,Low,HIGHER,2000
613,Mistral-Large-3,Estimate-First,14,5,Low,LOWER,1200
614,Mistral-Large-3,Estimate-First,14,6,Low,HIGHER,2000
615,Mistral-Large-3,Estimate-First,14,7,Low,HIGHER,2000
616,Mistral-Large-3,Estimate-First,14,8,Low,HIGHER,2000
617,Mistral-Large-3,Estimate-First,14,1,High,LOWER,1200
618,Mistral-Large-3,Estimate-First,14,2,High,LOWER,1200
619,Mistral-Large-3,Estimate-First,14,3,High,LOWER,1200
620,Mistral-Large-3,Estimate-First,14,4,High,LOWER,1200
621,Mistral-Large-3,Estimate-First,14,5,High,LOWER,1200
622,Mistral-Large-3,Estimate-First,14,6,High,LOWER,1200
623,Mistral-Large-3,Estimate-First,14,7,High,LOWER,1200
624,Mistral-Large-3,Estimate-First,14,8,High,LOWER,1200
625,Mistral-Large-3,Estimate-First,15,1,Low,HIGHER,2500
626,Mistral-Large-3,Estimate-First,15,2,Low,HIGHER,2500
627,Mistral-Large-3,Estimate-First,15,3,Low,HIGHER,2500
628,Mistral-Large-3,Estimate-First,15,4,Low,HIGHER,2500
629,Mistral-Large-3,Estimate-First,15,5,Low,HIGHER,2500
630,Mistral-Large-3,Estimate-First,15,6,Low,HIGHER,2500
631,Mistral-Large-3,Estimate-First,15,7,Low,HIGHER,2500
632,Mistral-Large-3,Estimate-First,15,8,Low,HIGHER,2500
633,Mistral-Large-3,Estimate-First,15,1,High,HIGHER,2500
634,Mistral-Large-3,Estimate-First,15,2,High,LOWER,1200
635,Mistral-Large-3,Estimate-First,15,3,High,HIGHER,2500
636,Mistral-Large-3,Estimate-First,15,4,High,LOWER,1200
637,Mistral-Large-3,Estimate-First,15,5,High,LOWER,1200
638,Mistral-Large-3,Estimate-First,15,6,High,LOWER,1200
639,Mistral-Large-3,Estimate-First,15,7,High,LOWER,1200
640,Mistral-Large-3,Estimate-First,15,8,High,LOWER,1200
641,Mistral-Large-3,Estimate-First,16,1,Low,HIGHER,120
642,Mistral-Large-3,Estimate-First,16,2,Low,HIGHER,120
643,Mistral-Large-3,Estimate-First,16,3,Low,HIGHER,120
644,Mistral-Large-3,Estimate-First,16,4,Low,HIGHER,120
645,Mistral-Large-3,Estimate-First,16,5,Low,HIGHER,120
646,Mistral-Large-3,Estimate-First,16,6,Low,HIGHER,120
647,Mistral-Large-3,Estimate-First,16,7,Low,HIGHER,120
648,Mistral-Large-3,Estimate-First,16,8,Low,HIGHER,120
649,Mistral-Large-3,Estimate-First,16,1,High,LOWER,150
650,Mistral-Large-3,Estimate-First,16,2,High,LOWER,150
651,Mistral-Large-3,Estimate-First,16,3,High,LOWER,150
652,Mistral-Large-3,Estimate-First,16,4,High,LOWER,150
653,Mistral-Large-3,Estimate-First,16,5,High,LOWER,150
654,Mistral-Large-3,Estimate-First,16,6,High,LOWER,150
655,Mistral-Large-3,Estimate-First,16,7,High,LOWER,150
656,Mistral-Large-3,Estimate-First,16,8,High,LOWER,150
657,Mistral-Large-3,Estimate-First,17,1,Low,HIGHER,250000
658,Mistral-Large-3,Estimate-First,17,2,Low,HIGHER,250000
659,Mistral-Large-3,Estimate-First,17,3,Low,HIGHER,250000
660,Mistral-Large-3,Estimate-First,17,4,Low,HIGHER,250000
661,Mistral-Large-3,Estimate-First,17,5,Low,HIGHER,250000
662,Mistral-Large-3,Estimate-First,17,6,Low,HIGHER,250000
663,Mistral-Large-3,Estimate-First,17,7,Low,HIGHER,250000
664,Mistral-Large-3,Estimate-First,17,8,Low,HIGHER,250000
665,Mistral-Large-3,Estimate-First,17,1,High,LOWER,150000
666,Mistral-Large-3,Estimate-First,17,2,High,LOWER,150000
667,Mistral-Large-3,Estimate-First,17,3,High,LOWER,150000
668,Mistral-Large-3,Estimate-First,17,4,High,LOWER,150000
669,Mistral-Large-3,Estimate-First,17,5,High,LOWER,150000
670,Mistral-Large-3,Estimate-First,17,6,High,LOWER,150000
671,Mistral-Large-3,Estimate-First,17,7,High,LOWER,150000
672,Mistral-Large-3,Estimate-First,17,8,High,LOWER,150000
673,Mistral-Large-3,Estimate-First,18,1,Low,HIGHER,150
674,Mistral-Large-3,Estimate-First,18,2,Low,HIGHER,150
