Model,Experiment,Question_Num,Anchoring_Effect
DeepSeek-V3.1,Baseline,1,0.1913043478260869
DeepSeek-V3.1,Baseline,2,0.0920502092050209
DeepSeek-V3.1,Baseline,3,0.6061415220293725
DeepSeek-V3.1,Baseline,4,-0.0092187684670842
DeepSeek-V3.1,Baseline,5,0.228626320845341
DeepSeek-V3.1,Baseline,6,0.0698027314112291
DeepSeek-V3.1,Baseline,7,-1.82641624565906
DeepSeek-V3.1,Baseline,8,0.2587482503499299
DeepSeek-V3.1,Baseline,9,1.2216014897579144
DeepSeek-V3.1,Baseline,10,-0.1710780415767351
DeepSeek-V3.1,Baseline,11,0.5827814569536424
DeepSeek-V3.1,Baseline,12,-0.1496116637144026
DeepSeek-V3.1,Baseline,13,0.6987600291757841
DeepSeek-V3.1,Baseline,14,1.0735537036693334
DeepSeek-V3.1,Baseline,15,0.6324661048002931
DeepSeek-V3.1,Baseline,16,0.4567389714842798
DeepSeek-V3.1,Baseline,17,0.631578947368421
DeepSeek-V3.1,Baseline,18,0.6504559270516718
DeepSeek-V3.1,Baseline,19,0.914602156805596
DeepSeek-V3.1,Baseline,20,0.1367088607594936
DeepSeek-V3.1,Baseline,21,-0.1714381575981253
DeepSeek-V3.1,Baseline,22,0.3532640658694373
DeepSeek-V3.1,Baseline,23,0.3391812865497076
DeepSeek-V3.1,Baseline,24,0.0527045769764216
DeepSeek-V3.1,Baseline,25,0.9730659025787964
Llama-3.1-8B,Baseline,1,-0.1566820276497695
Llama-3.1-8B,Baseline,2,-1.1181102362204725
Llama-3.1-8B,Baseline,3,0.8433734939759037
Llama-3.1-8B,Baseline,4,0.0258725896997803
Llama-3.1-8B,Baseline,5,0.7666433076384022
Llama-3.1-8B,Baseline,6,0.2187981510015408
Llama-3.1-8B,Baseline,7,0.926517571884984
Llama-3.1-8B,Baseline,8,0.3720930232558138
Llama-3.1-8B,Baseline,9,1.2932735426008968
Llama-3.1-8B,Baseline,10,1.1904761904761905
Llama-3.1-8B,Baseline,11,0.9257142857142856
Llama-3.1-8B,Baseline,12,1.109048723897912
Llama-3.1-8B,Baseline,13,0.3908045977011494
Llama-3.1-8B,Baseline,14,1.0864197530864197
Llama-3.1-8B,Baseline,15,1.1231231231231231
Llama-3.1-8B,Baseline,17,1.34640522875817
Llama-3.1-8B,Baseline,18,1.0604026845637584
Llama-3.1-8B,Baseline,19,1.0303030303030305
Llama-3.1-8B,Baseline,20,0.4444444444444444
Llama-3.1-8B,Baseline,21,0.0081190798376184
Llama-3.1-8B,Baseline,22,1.0456852791878173
Llama-3.1-8B,Baseline,23,1.0410958904109588
Llama-3.1-8B,Baseline,25,1.0131826741996233
Mistral-Large-3,Baseline,1,0.0
Mistral-Large-3,Baseline,2,0.1621621621621621
Mistral-Large-3,Baseline,3,0.2641509433962264
Mistral-Large-3,Baseline,4,0.4192439862542955
Mistral-Large-3,Baseline,5,0.2222222222222222
Mistral-Large-3,Baseline,6,0.0008078632018311
Mistral-Large-3,Baseline,7,0.6415094339622641
Mistral-Large-3,Baseline,8,1.1578947368421053
Mistral-Large-3,Baseline,9,0.0
Mistral-Large-3,Baseline,10,0.0
Mistral-Large-3,Baseline,11,0.2608695652173913
Mistral-Large-3,Baseline,12,0.3529411764705882
Mistral-Large-3,Baseline,13,1.1311154598825832
Mistral-Large-3,Baseline,14,-0.3157894736842105
Mistral-Large-3,Baseline,15,0.0
Mistral-Large-3,Baseline,16,0.8571428571428571
Mistral-Large-3,Baseline,17,-0.9803921568627452
Mistral-Large-3,Baseline,18,0.0
Mistral-Large-3,Baseline,19,1.2258064516129032
Mistral-Large-3,Baseline,20,0.4
Mistral-Large-3,Baseline,21,0.0
Mistral-Large-3,Baseline,22,0.0
Mistral-Large-3,Baseline,23,0.8
Mistral-Large-3,Baseline,24,0.0224719101123595
Mistral-Large-3,Baseline,25,0.4
DeepSeek-V3.1,Debias,1,0.0355029585798816
DeepSeek-V3.1,Debias,2,0.0580912863070539
DeepSeek-V3.1,Debias,3,0.1353670162059103
DeepSeek-V3.1,Debias,4,-0.0023980815347721
DeepSeek-V3.1,Debias,5,0.2037037037037037
DeepSeek-V3.1,Debias,6,0.1296115436974816
DeepSeek-V3.1,Debias,7,0.0442655935613682
DeepSeek-V3.1,Debias,8,0.2024291497975708
DeepSeek-V3.1,Debias,9,0.8287581699346406
DeepSeek-V3.1,Debias,10,0.0676328502415458
DeepSeek-V3.1,Debias,11,0.1897356143079315
DeepSeek-V3.1,Debias,12,0.0854700854700854
DeepSeek-V3.1,Debias,13,0.6025878003696857
DeepSeek-V3.1,Debias,14,0.2158273381294964
DeepSeek-V3.1,Debias,15,-0.2351734044736302
DeepSeek-V3.1,Debias,16,0.8313253012048193
DeepSeek-V3.1,Debias,17,0.6618181818181819
DeepSeek-V3.1,Debias,18,0.7472527472527473
DeepSeek-V3.1,Debias,19,0.900523560209424
DeepSeek-V3.1,Debias,20,0.1334762798177432
DeepSeek-V3.1,Debias,21,-0.1124002102766604
DeepSeek-V3.1,Debias,22,0.6
DeepSeek-V3.1,Debias,23,0.273972602739726
DeepSeek-V3.1,Debias,24,0.0082304526748971
DeepSeek-V3.1,Debias,25,0.8235294117647058
Llama-3.1-8B,Debias,1,-0.1016949152542373
Llama-3.1-8B,Debias,2,0.4553039332538736
Llama-3.1-8B,Debias,3,0.2933333333333333
Llama-3.1-8B,Debias,4,0.0708714610329791
Llama-3.1-8B,Debias,5,0.7915194346289752
Llama-3.1-8B,Debias,6,0.2459893048128341
Llama-3.1-8B,Debias,7,0.1424058323207775
Llama-3.1-8B,Debias,8,0.8828828828828829
Llama-3.1-8B,Debias,9,1.2562442183163738
Llama-3.1-8B,Debias,10,0.7412280701754386
Llama-3.1-8B,Debias,11,0.6951364175563464
Llama-3.1-8B,Debias,12,1.152317880794702
Llama-3.1-8B,Debias,13,0.1212121212121212
Llama-3.1-8B,Debias,14,1.171641791044776
Llama-3.1-8B,Debias,15,0.7428571428571429
Llama-3.1-8B,Debias,16,0.5531914893617021
Llama-3.1-8B,Debias,17,0.1886792452830188
Llama-3.1-8B,Debias,18,0.9883268482490272
Llama-3.1-8B,Debias,19,1.3512544802867383
