Model,Experiment,Question_Num,Anchoring_Effect
DeepSeek-V3.1,Baseline,1,0.1913043478260869
DeepSeek-V3.1,Baseline,2,0.09205020920502092
DeepSeek-V3.1,Baseline,3,0.6061415220293725
DeepSeek-V3.1,Baseline,4,-0.00921876846708427
DeepSeek-V3.1,Baseline,5,0.228626320845341
DeepSeek-V3.1,Baseline,6,0.06980273141122914
DeepSeek-V3.1,Baseline,7,-1.82641624565906
DeepSeek-V3.1,Baseline,8,0.25874825034992993
DeepSeek-V3.1,Baseline,9,1.2216014897579144
DeepSeek-V3.1,Baseline,10,-0.17107804157673512
DeepSeek-V3.1,Baseline,11,0.5827814569536424
DeepSeek-V3.1,Baseline,12,-0.1496116637144026
DeepSeek-V3.1,Baseline,13,0.6987600291757841
DeepSeek-V3.1,Baseline,14,1.0735537036693334
DeepSeek-V3.1,Baseline,15,0.6324661048002931
DeepSeek-V3.1,Baseline,16,0.4567389714842798
DeepSeek-V3.1,Baseline,17,0.631578947368421
DeepSeek-V3.1,Baseline,18,0.6504559270516718
DeepSeek-V3.1,Baseline,19,0.9146021568055961
DeepSeek-V3.1,Baseline,20,0.13670886075949368
DeepSeek-V3.1,Baseline,21,-0.17143815759812533
DeepSeek-V3.1,Baseline,22,0.35326406586943737
DeepSeek-V3.1,Baseline,23,0.3391812865497076
DeepSeek-V3.1,Baseline,24,0.052704576976421634
DeepSeek-V3.1,Baseline,25,0.9730659025787965
Llama-3.1-8B,Baseline,1,-0.15668202764976957
Llama-3.1-8B,Baseline,2,-1.1181102362204725
Llama-3.1-8B,Baseline,3,0.8433734939759037
Llama-3.1-8B,Baseline,4,0.025872589699780325
Llama-3.1-8B,Baseline,5,0.7666433076384022
Llama-3.1-8B,Baseline,6,0.21879815100154082
Llama-3.1-8B,Baseline,7,0.9265175718849841
Llama-3.1-8B,Baseline,8,0.37209302325581384
Llama-3.1-8B,Baseline,9,1.2932735426008968
Llama-3.1-8B,Baseline,10,1.1904761904761905
Llama-3.1-8B,Baseline,11,0.9257142857142857
Llama-3.1-8B,Baseline,12,1.1090487238979119
Llama-3.1-8B,Baseline,13,0.39080459770114945
Llama-3.1-8B,Baseline,14,1.0864197530864197
Llama-3.1-8B,Baseline,15,1.1231231231231231
Llama-3.1-8B,Baseline,17,1.34640522875817
Llama-3.1-8B,Baseline,18,1.0604026845637584
Llama-3.1-8B,Baseline,19,1.0303030303030303
Llama-3.1-8B,Baseline,20,0.4444444444444444
Llama-3.1-8B,Baseline,21,0.008119079837618453
Llama-3.1-8B,Baseline,22,1.0456852791878173
Llama-3.1-8B,Baseline,23,1.0410958904109588
Llama-3.1-8B,Baseline,25,1.0131826741996233
Mistral-Large-3,Baseline,1,0.0
Mistral-Large-3,Baseline,2,0.16216216216216217
Mistral-Large-3,Baseline,3,0.2641509433962264
Mistral-Large-3,Baseline,4,0.41924398625429554
Mistral-Large-3,Baseline,5,0.2222222222222222
Mistral-Large-3,Baseline,6,0.0008078632018311566
Mistral-Large-3,Baseline,7,0.6415094339622641
Mistral-Large-3,Baseline,8,1.1578947368421053
Mistral-Large-3,Baseline,9,0.0
Mistral-Large-3,Baseline,10,0.0
Mistral-Large-3,Baseline,11,0.2608695652173913
Mistral-Large-3,Baseline,12,0.35294117647058826
Mistral-Large-3,Baseline,13,1.1311154598825832
Mistral-Large-3,Baseline,14,-0.3157894736842105
Mistral-Large-3,Baseline,15,0.0
Mistral-Large-3,Baseline,16,0.8571428571428571
Mistral-Large-3,Baseline,17,-0.9803921568627451
Mistral-Large-3,Baseline,18,0.0
Mistral-Large-3,Baseline,19,1.2258064516129032
Mistral-Large-3,Baseline,20,0.4
Mistral-Large-3,Baseline,21,0.0
Mistral-Large-3,Baseline,22,0.0
Mistral-Large-3,Baseline,23,0.8
Mistral-Large-3,Baseline,24,0.02247191011235955
Mistral-Large-3,Baseline,25,0.4
