Model,Experiment,Question_Num,Anchoring_Effect
DeepSeek-V3.1,Debias,1,0.03550295857988166
DeepSeek-V3.1,Debias,2,0.058091286307053944
DeepSeek-V3.1,Debias,3,0.13536701620591038
DeepSeek-V3.1,Debias,4,-0.002398081534772182
DeepSeek-V3.1,Debias,5,0.2037037037037037
DeepSeek-V3.1,Debias,6,0.12961154369748168
DeepSeek-V3.1,Debias,7,0.04426559356136821
DeepSeek-V3.1,Debias,8,0.20242914979757085
DeepSeek-V3.1,Debias,9,0.8287581699346406
DeepSeek-V3.1,Debias,10,0.06763285024154589
DeepSeek-V3.1,Debias,11,0.18973561430793157
DeepSeek-V3.1,Debias,12,0.08547008547008547
DeepSeek-V3.1,Debias,13,0.6025878003696857
DeepSeek-V3.1,Debias,14,0.2158273381294964
DeepSeek-V3.1,Debias,15,-0.23517340447363022
DeepSeek-V3.1,Debias,16,0.8313253012048193
DeepSeek-V3.1,Debias,17,0.6618181818181819
DeepSeek-V3.1,Debias,18,0.7472527472527473
DeepSeek-V3.1,Debias,19,0.900523560209424
DeepSeek-V3.1,Debias,20,0.13347627981774324
DeepSeek-V3.1,Debias,21,-0.11240021027666044
DeepSeek-V3.1,Debias,22,0.6
DeepSeek-V3.1,Debias,23,0.273972602739726
DeepSeek-V3.1,Debias,24,0.00823045267489712
DeepSeek-V3.1,Debias,25,0.8235294117647058
Llama-3.1-8B,Debias,1,-0.10169491525423732
Llama-3.1-8B,Debias,2,0.45530393325387364
Llama-3.1-8B,Debias,3,0.29333333333333333
Llama-3.1-8B,Debias,4,0.07087146103297919
Llama-3.1-8B,Debias,5,0.7915194346289752
Llama-3.1-8B,Debias,6,0.24598930481283415
Llama-3.1-8B,Debias,7,0.14240583232077755
Llama-3.1-8B,Debias,8,0.8828828828828829
Llama-3.1-8B,Debias,9,1.2562442183163738
Llama-3.1-8B,Debias,10,0.7412280701754386
Llama-3.1-8B,Debias,11,0.6951364175563464
Llama-3.1-8B,Debias,12,1.1523178807947019
Llama-3.1-8B,Debias,13,0.12121212121212126
Llama-3.1-8B,Debias,14,1.171641791044776
Llama-3.1-8B,Debias,15,0.7428571428571429
Llama-3.1-8B,Debias,16,0.5531914893617021
Llama-3.1-8B,Debias,17,0.18867924528301888
Llama-3.1-8B,Debias,18,0.9883268482490273
Llama-3.1-8B,Debias,19,1.3512544802867383
Llama-3.1-8B,Debias,20,0.4592973436161097
Llama-3.1-8B,Debias,21,0.0211400164100584
Llama-3.1-8B,Debias,22,1.0581039755351682
Llama-3.1-8B,Debias,23,1.1423785594639866
Llama-3.1-8B,Debias,24,0.004008016032064128
Llama-3.1-8B,Debias,25,1.1929824561403508
Mistral-Large-3,Debias,1,0.0
Mistral-Large-3,Debias,2,-1.8453608247422681
Mistral-Large-3,Debias,3,0.23776223776223776
Mistral-Large-3,Debias,4,0.0
Mistral-Large-3,Debias,5,0.2222222222222222
Mistral-Large-3,Debias,6,0.0
Mistral-Large-3,Debias,7,0.02643171806167401
Mistral-Large-3,Debias,8,-0.5
Mistral-Large-3,Debias,9,0.0
Mistral-Large-3,Debias,10,0.0
Mistral-Large-3,Debias,11,0.09523809523809523
Mistral-Large-3,Debias,12,-0.3333333333333333
Mistral-Large-3,Debias,13,0.9250457038391224
Mistral-Large-3,Debias,14,-0.45161290322580644
Mistral-Large-3,Debias,15,0.0
Mistral-Large-3,Debias,16,0.9787234042553191
Mistral-Large-3,Debias,17,-1.6363636363636365
Mistral-Large-3,Debias,18,0.0
Mistral-Large-3,Debias,19,1.3333333333333333
Mistral-Large-3,Debias,20,0.4
Mistral-Large-3,Debias,21,0.0
Mistral-Large-3,Debias,22,0.0
Mistral-Large-3,Debias,23,0.7956989247311828
Mistral-Large-3,Debias,24,0.0
Mistral-Large-3,Debias,25,0.0
