Model,Experiment,Question_Num,Anchoring_Effect
DeepSeek-V3.1,Estimation-First,1,0.2617801047120419
DeepSeek-V3.1,Estimation-First,2,-0.37037037037037035
DeepSeek-V3.1,Estimation-First,3,0.10185185185185185
DeepSeek-V3.1,Estimation-First,4,0.04759844223279973
DeepSeek-V3.1,Estimation-First,5,0.180565127498277
DeepSeek-V3.1,Estimation-First,6,0.017094017094017096
DeepSeek-V3.1,Estimation-First,7,0.06627680311890838
DeepSeek-V3.1,Estimation-First,8,-0.2691823899371069
DeepSeek-V3.1,Estimation-First,9,0.9903846153846154
DeepSeek-V3.1,Estimation-First,10,0.45841784989858014
DeepSeek-V3.1,Estimation-First,11,0.2071307300509338
DeepSeek-V3.1,Estimation-First,12,-0.07039337474120083
DeepSeek-V3.1,Estimation-First,13,0.774617067833698
DeepSeek-V3.1,Estimation-First,14,-0.3024390243902439
DeepSeek-V3.1,Estimation-First,15,0.19485437236790876
DeepSeek-V3.1,Estimation-First,16,0.2100238663484487
DeepSeek-V3.1,Estimation-First,17,0.3229166666666667
DeepSeek-V3.1,Estimation-First,18,0.08849557522123894
DeepSeek-V3.1,Estimation-First,19,-0.37337192474674386
DeepSeek-V3.1,Estimation-First,20,0.07518796992481203
DeepSeek-V3.1,Estimation-First,21,-0.07272727272727272
DeepSeek-V3.1,Estimation-First,22,0.3888888888888889
DeepSeek-V3.1,Estimation-First,23,0.14084507042253522
DeepSeek-V3.1,Estimation-First,24,0.10526315789473684
DeepSeek-V3.1,Estimation-First,25,0.6989898989898989
Llama-3.1-8B,Estimate-First,1,-0.10843373493975904
Llama-3.1-8B,Estimate-First,2,-0.4459845087647778
Llama-3.1-8B,Estimate-First,3,1.1864406779661016
Llama-3.1-8B,Estimate-First,4,0.21306650971159505
Llama-3.1-8B,Estimate-First,5,0.9279279279279279
Llama-3.1-8B,Estimate-First,6,0.25
Llama-3.1-8B,Estimate-First,7,0.2857142857142857
Llama-3.1-8B,Estimate-First,8,1.2323232323232323
Llama-3.1-8B,Estimate-First,9,1.2420346562325322
Llama-3.1-8B,Estimate-First,10,1.0208333333333333
Llama-3.1-8B,Estimate-First,11,0.8343313373253493
Llama-3.1-8B,Estimate-First,12,1.2193158953722334
Llama-3.1-8B,Estimate-First,13,0.631578947368421
Llama-3.1-8B,Estimate-First,14,1.3004926108374384
Llama-3.1-8B,Estimate-First,15,0.966818477553676
Llama-3.1-8B,Estimate-First,16,1.1342465753424658
Llama-3.1-8B,Estimate-First,17,0.4186046511627907
Llama-3.1-8B,Estimate-First,18,1.0597609561752988
Llama-3.1-8B,Estimate-First,19,1.2484076433121019
Llama-3.1-8B,Estimate-First,20,1.0638297872340425
Llama-3.1-8B,Estimate-First,21,0.8211009174311926
Llama-3.1-8B,Estimate-First,22,1.291819291819292
Llama-3.1-8B,Estimate-First,23,1.0456852791878173
Llama-3.1-8B,Estimate-First,24,0.3058252427184466
Llama-3.1-8B,Estimate-First,25,1.1020408163265305
Mistral-Large-3,Estimate-First,1,0.445859872611465
Mistral-Large-3,Estimate-First,2,0.2222222222222222
Mistral-Large-3,Estimate-First,3,0.2222222222222222
Mistral-Large-3,Estimate-First,4,0.4444444444444444
Mistral-Large-3,Estimate-First,5,0.2222222222222222
Mistral-Large-3,Estimate-First,6,0.0
Mistral-Large-3,Estimate-First,7,0.06896551724137931
Mistral-Large-3,Estimate-First,8,-0.5
Mistral-Large-3,Estimate-First,9,0.5
Mistral-Large-3,Estimate-First,10,0.0
Mistral-Large-3,Estimate-First,11,1.1390134529147982
Mistral-Large-3,Estimate-First,12,-0.18181818181818182
Mistral-Large-3,Estimate-First,13,
Mistral-Large-3,Estimate-First,14,-0.4
Mistral-Large-3,Estimate-First,15,-0.484472049689441
Mistral-Large-3,Estimate-First,16,0.2222222222222222
Mistral-Large-3,Estimate-First,17,-0.5
Mistral-Large-3,Estimate-First,18,0.0
Mistral-Large-3,Estimate-First,19,1.1531531531531531
Mistral-Large-3,Estimate-First,20,0.0
Mistral-Large-3,Estimate-First,21,0.0
Mistral-Large-3,Estimate-First,22,0.0
Mistral-Large-3,Estimate-First,23,0.4
Mistral-Large-3,Estimate-First,24,0.0
Mistral-Large-3,Estimate-First,25,0.0
